Fecha de revisión,Fuente,#,Ley,Reforma anterior,Reforma nueva,Archivo modificado,Detalle,Enlace
2026-09-23 23:30,Cámara de Diputados,1,Constitución Política de los Estados Unidos Mexicanos,(vacío),2026-06-02,leyes_artonseley.csv,Registro inicial de la fecha de última reforma — Nuevas reformas,https://www.diputados.gob.mx/LeyesBiblio/ref/cpeum.htm
2026-09-23 23:30,Cámara de Diputados,2,Ley Orgánica del Poder Judicial de la Federación,(vacío),2025-11-28,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lopjf.htm
2026-09-23 23:30,Cámara de Diputados,3,Código Civil Federal,(vacío),2025-11-14,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/ccf.htm
2026-09-23 23:30,Cámara de Diputados,4,Código Federal de Procedimientos Civiles,(vacío),2025-06-17,leyes_artonseley.csv,Registro inicial de la fecha de última reforma — ( Abrogado en un plazo que no exceda del 01/04/2027 ),https://www.diputados.gob.mx/LeyesBiblio/ref/cfpc.htm
2026-09-23 23:30,Cámara de Diputados,5,Código Nacional de Procedimientos Penales,(vacío),2025-11-28,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/cnpp.htm
2026-09-23 23:30,Cámara de Diputados,6,Código Penal Federal,(vacío),2026-03-13,leyes_artonseley.csv,Registro inicial de la fecha de última reforma — Nueva reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/cpf.htm
2026-09-23 23:30,Cámara de Diputados,7,Ley Nacional de Ejecución Penal,(vacío),2024-04-01,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lnep.htm
2026-09-23 23:30,Cámara de Diputados,8,Código de Comercio,(vacío),2026-02-18,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/ccom.htm
2026-09-23 23:30,Cámara de Diputados,9,Ley Federal de Protección a la Propiedad Industrial,(vacío),2026-04-03,leyes_artonseley.csv,Registro inicial de la fecha de última reforma — Nueva reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lfppi.htm
2026-09-23 23:30,Cámara de Diputados,10,Ley Federal de Protección al Consumidor,(vacío),2025-12-23,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lfpc.htm
2026-09-23 23:30,Cámara de Diputados,11,Ley Federal del Derecho de Autor,(vacío),2026-05-14,leyes_artonseley.csv,Registro inicial de la fecha de última reforma — Nueva reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lfda.htm
2026-09-23 23:30,Cámara de Diputados,12,Ley General de Sociedades Mercantiles,(vacío),2025-12-26,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lgsm.htm
2026-09-23 23:30,Cámara de Diputados,13,Ley del Mercado de Valores,(vacío),2025-11-14,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lmv.htm
2026-09-23 23:30,Cámara de Diputados,14,Ley Federal de Competencia Económica,(vacío),2025-11-14,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lfce.htm
2026-09-23 23:30,Cámara de Diputados,15,Ley General de Títulos y Operaciones de Crédito,(vacío),2024-03-26,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lgtoc.htm
2026-09-23 23:30,Cámara de Diputados,17,Ley Federal de Procedimiento Contencioso Administrativo,(vacío),2026-06-09,leyes_artonseley.csv,Registro inicial de la fecha de última reforma — Nueva reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lfpca.htm
2026-09-23 23:30,Cámara de Diputados,18,Ley del Impuesto sobre la Renta,(vacío),2024-04-01,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lisr.htm
2026-09-23 23:30,Cámara de Diputados,19,Ley del Impuesto al Valor Agregado,(vacío),2021-11-12,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/liva.htm
2026-09-23 23:30,Cámara de Diputados,20,Ley Federal de Procedimiento Administrativo,(vacío),2025-11-14,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lfpa.htm
2026-09-23 23:30,Cámara de Diputados,21,Ley General de Bienes Nacionales,(vacío),2025-11-14,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lgbn.htm
2026-09-23 23:30,Cámara de Diputados,22,Ley Federal del Trabajo,(vacío),2026-05-14,leyes_artonseley.csv,Registro inicial de la fecha de última reforma — Nueva reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lft.htm
2026-09-23 23:30,Cámara de Diputados,23,Ley Federal de los Trabajadores al Servicio del Estado,(vacío),2026-01-15,leyes_artonseley.csv,Registro inicial de la fecha de última reforma,https://www.diputados.gob.mx/LeyesBiblio/ref/lftse.htm
