#,Nombre en Artonseley,Nombre oficial,Sector,Artículos,Última reforma,Actualizado en Artonseley,Pendiente de actualizar
1,Constitución Política de los Estados Unidos Mexicanos,Constitución Política de los Estados Unidos Mexicanos,Constitucional,136,2026-06-02,2026-08-29,No
2,Ley Orgánica del Poder Judicial de la Federación,Ley Orgánica del Poder Judicial de la Federación,Constitucional,307,2025-11-28,2026-09-11,No
3,Código Civil Federal,Código Civil Federal,Civil,3103,2025-11-14,2026-08-28,No
4,Código Federal de Procedimientos Civiles,Código Federal de Procedimientos Civiles,Civil,630,2025-06-17,2026-08-29,No
5,Código Nacional de Procedimientos Penales,Código Nacional de Procedimientos Penales,Penal,490,2025-11-28,2026-08-29,No
6,Código Penal Federal,Código Penal Federal,Penal,555,2026-03-13,2026-08-29,No
7,Ley Nacional de Ejecución Penal,Ley Nacional de Ejecución Penal,Penal,207,2024-04-01,2026-08-29,No
8,Código de Comercio,Código de Comercio,Mercantil,1641,2026-02-18,2026-08-29,No
9,Ley Federal de Protección a la Propiedad Industrial,Ley Federal de Protección a la Propiedad Industrial,Mercantil,421,2026-04-03,2026-09-11,No
10,Ley Federal de Protección al Consumidor,Ley Federal de Protección al Consumidor,Mercantil,182,2025-12-23,2026-09-11,No
11,Ley Federal del Derecho de Autor,Ley Federal del Derecho de Autor,Mercantil,259,2026-05-14,2026-09-11,No
12,Ley General de Sociedades Mercantiles,Ley General de Sociedades Mercantiles,Mercantil,277,2025-12-26,2026-08-29,No
13,Ley del Mercado de Valores,Ley del Mercado de Valores,Mercantil,463,2025-11-14,2026-09-11,No
14,Ley Federal de Competencia Económica,Ley Federal de Competencia Económica,Financiero,153,2025-11-14,2026-09-11,No
15,Ley General de Operaciones y Títulos de Crédito,Ley General de Títulos y Operaciones de Crédito,Financiero,463,2024-03-26,2026-08-29,No
16,Código Fiscal de la Federación,Código Fiscal de la Federación,Fiscal,421,2026-04-09,2026-08-28,No
17,Ley Federal de Procedimiento Contencioso Administrativo,Ley Federal de Procedimiento Contencioso Administrativo,Fiscal,134,2026-06-09,2026-09-05,No
18,Ley del Impuesto Sobre la Renta,Ley del Impuesto sobre la Renta,Fiscal,220,2024-04-01,2026-09-05,No
19,Ley del Impuesto al Valor Agregado,Ley del Impuesto al Valor Agregado,Fiscal,80,2021-11-12,2026-09-05,No
20,La Ley Federal de Procedimiento Administrativo,Ley Federal de Procedimiento Administrativo,Administración,103,2025-11-14,2026-09-05,No
21,Ley General de Bienes Nacionales,Ley General de Bienes Nacionales,Administración,157,2025-11-14,2026-09-11,No
22,Ley Federal del Trabajo,Ley Federal del Trabajo,Trabajo,1266,2026-05-14,2026-08-28,No
23,Ley Federal de los Trabajadores al Servicio del Estado,Ley Federal de los Trabajadores al Servicio del Estado,Trabajo,177,2026-01-15,2026-09-11,No
24,Ley de Amparo,Ley de Amparo,Derechos Humanos,272,2025-10-16,2026-08-29,No
25,Ley Federal de Protección de Datos Personales en Posesión de los Particulares,Ley Federal de Protección de Datos Personales en Posesión de los Particulares,Derechos Humanos,64,2025-11-14,2026-09-11,No
26,Ley General de Víctimas,Ley General de Víctimas,Derechos Humanos,203,2024-04-01,2026-09-11,No
27,Ley General de Salud,Ley General de Salud,Salud,733,2026-01-15,2026-09-11,No
28,Ley de Seguro Social,Ley del Seguro Social,Salud,385,2026-01-15,2026-08-29,No
29,Ley de Aguas Nacionales,Ley de Aguas Nacionales,Medio Ambiente,215,2025-12-11,2026-08-28,No
30,Ley General del Equilibrio Ecológico y la Protección al Ambiente,Ley General del Equilibrio Ecológico y la Protección al Ambiente,Medio Ambiente,270,2026-01-19,2026-09-11,No
31,Ley Agraria,Ley Agraria,Agrario,201,2025-11-14,2026-09-11,No
32,Código Justicia Militar,Código de Justicia Militar,Militar,954,2025-07-16,2026-08-29,No
